surface_id	png_sha256	png_bytes	xml_sha256	xml_bytes
shared.first-run.configured-home	b8ad0470f30f10778413ced1bbd36a88536f2fcb328226ec50ab20fc10a2c01a	223455	17e459576e675ded53d65e533d6b0fbca79cde74efc83458a8802932b3a231df	54074
shared.first-run.customize	0a27b5f13d2883d54793f906fb061108b9710ad223a63c3c91f2ba1a837e15f6	167694	c55b5bace2113f103ad8efefe47a2aa7a68d7a8c6adae266ef8648cd9f805430	35404
shared.first-run.error-large-rtl	e5de762e7aa4fd4326919d206f9b3eb322180d6468755240371c89d1353dd7f7	153514	76506422adb72c330347210bd15bdf170f1ec5e5667638bdabe9130dd6785dfb	29313
shared.first-run.optional	fde11690d1ae97e38c0d9689cb29f656c1e4cebbfe020c7b637ed036066cfe0d	175470	8fab2bacfb34b69320d1d7d670e4111fbf8f997708ba7cf459e71f4106b1f9e4	40532
shared.first-run.optional-large-rtl	8ddab678bc4987aa23d29c443b92735ea17555150a0a63c373150a5b0f122b0f	164692	b2131e17bc6c4c42850a4333996d169c5ac0685a59ceae9bc45e05750ad54129	31882
shared.first-run.save-error	e4f9b9ea91c7858e4637368855de8257eb55cf4396b5054345889e505671889e	167970	d7b240697c434ef9c8e08729fb175606f625aad10015946fb238d0610fee380b	41040
shared.first-run.saving	a630e76e00bba1d2f30766fd9b16cbc54dea5601aa63bf669b8c4773bba8d2c0	113533	c56dd486f30df9fe0311dba22c78215f52b98e15647cd2e46bb359c8967b7957	16400
shared.first-run.setup	cc4863427a498e1cb6e41b1e587f1704985b1f7ccd7c215379da6a993b7be4fb	111039	5dd3c03ed5a01ce0901d7cdb161ac17ef30cd016e1f52ef9291315b719ba1a84	23970
shared.first-run.welcome-large	164726ef57db3dd2ec10bdd4c6b9167c4266a7b45a15589cfe20f1f97e59e358	201506	56316ffff084d80586e0f1228d067569eee81337235325f0470044e3ff584fd0	23966
shared.first-run.welcome-real	9e86947fa73c9f94567b5735f9d95fbf2a5a802fe1a6a7b3410db8936e873f4f	186131	ed9f5d67eea189b2a571adde48444a998320f5e61c26126a08cea63b11be8273	23963
shared.global-add.menu	24d6a44128c5d4cd549051560bc0b62b28ddadece9bfe8c7b019fcdde8ade5b6	162607	09bca934a8677d1a6d8116fbd6e5875e4c6c53aa4cd1524d4e61cd4626756683	19291
shared.home.clear-review	5ce821b2944bd3223963a506269ea8cba48014aadab4696840bd5207dca22550	98450	b4b7e5ff214f3a340052ae33bce396ada8256a91a3aaab49507a9cea8fecf59a	42914
