source_key	family	discovery_kind	owner
call:RoutineBuilder.RoutinePlacementEditor.menu-002	gym	menu	app/src/main/java/com/whip/app/ui/RoutineBuilder.kt
call:RoutineBuilder.RoutineProgramStructurePage.dialog-001	gym	dialog	app/src/main/java/com/whip/app/ui/RoutineBuilder.kt
call:SettingsScreens.BackupRestorePreviewDialogs.dialog-001	settings	dialog	app/src/main/java/com/whip/app/ui/SettingsScreens.kt
call:SettingsScreens.CustomIdentityEmojiDialog.dialog-001	settings	dialog	app/src/main/java/com/whip/app/ui/SettingsScreens.kt
call:SettingsScreens.requestDismiss.dialog-001	settings	dialog	app/src/main/java/com/whip/app/ui/SettingsScreens.kt
call:SettingsScreens.submitHealthAction.dialog-001	settings	dialog	app/src/main/java/com/whip/app/ui/SettingsScreens.kt
call:SettingsScreens.submitHealthAction.dialog-002	settings	dialog	app/src/main/java/com/whip/app/ui/SettingsScreens.kt
call:TagManagementDialog.CreateTagDialog.dialog-001	organization	dialog	app/src/main/java/com/whip/app/ui/TagManagementDialog.kt
call:TagManagementDialog.MergeTagDialog.dialog-001	organization	dialog	app/src/main/java/com/whip/app/ui/TagManagementDialog.kt
call:TagManagementDialog.RenameTagDialog.dialog-001	organization	dialog	app/src/main/java/com/whip/app/ui/TagManagementDialog.kt
call:TagManagementDialog.error.dialog-001	organization	dialog	app/src/main/java/com/whip/app/ui/TagManagementDialog.kt
call:TaskComponents.PermanentTaskDeleteDialog.dialog-001	tasks	dialog	app/src/main/java/com/whip/app/ui/TaskComponents.kt
call:TaskComponents.TaskActionsDialog.dialog-001	tasks	dialog	app/src/main/java/com/whip/app/ui/TaskComponents.kt
call:TaskEditorDialog.TaskRecipeDialog.dialog-001	tasks	dialog	app/src/main/java/com/whip/app/ui/TaskEditorDialog.kt
call:TaskEditorDialog.setRepeatEnabled.dialog-001	tasks	dialog	app/src/main/java/com/whip/app/ui/TaskEditorDialog.kt
call:TaskEditorDialog.setRepeatEnabled.dialog-002	tasks	dialog	app/src/main/java/com/whip/app/ui/TaskEditorDialog.kt
call:TaskEditorDialog.setRepeatEnabled.dialog-003	tasks	dialog	app/src/main/java/com/whip/app/ui/TaskEditorDialog.kt
call:TaskEditorDialog.setRepeatEnabled.dialog-004	tasks	dialog	app/src/main/java/com/whip/app/ui/TaskEditorDialog.kt
call:TaskEditorDialog.setRepeatEnabled.dialog-005	tasks	dialog	app/src/main/java/com/whip/app/ui/TaskEditorDialog.kt
call:TrackScreens.TrackActivityRow.menu-001	tracks	menu	app/src/main/java/com/whip/app/ui/TrackScreens.kt
call:TrackScreens.TrackConditionEditor.dialog-001	tracks	dialog	app/src/main/java/com/whip/app/ui/TrackScreens.kt
call:TrackScreens.TrackCsvImportDialog.dialog-001	tracks	dialog	app/src/main/java/com/whip/app/ui/TrackScreens.kt
call:TrackScreens.TrackEntryDeleteRoute.dialog-001	tracks	dialog	app/src/main/java/com/whip/app/ui/TrackScreens.kt
call:TrackScreens.TrackEntryRow.menu-001	tracks	menu	app/src/main/java/com/whip/app/ui/TrackScreens.kt
call:TrackScreens.TrackFilterDialog.dialog-001	tracks	dialog	app/src/main/java/com/whip/app/ui/TrackScreens.kt
call:TrackScreens.currentDraft.dialog-001	tracks	dialog	app/src/main/java/com/whip/app/ui/TrackScreens.kt
call:TrackScreens.currentDraft.dialog-002	tracks	dialog	app/src/main/java/com/whip/app/ui/TrackScreens.kt
call:TrackScreens.currentDraft.dialog-003	tracks	dialog	app/src/main/java/com/whip/app/ui/TrackScreens.kt
call:TrackScreens.moveWithin.menu-001	tracks	menu	app/src/main/java/com/whip/app/ui/TrackScreens.kt
call:TrackScreens.reloadPage.dialog-001	tracks	dialog	app/src/main/java/com/whip/app/ui/TrackScreens.kt
call:TrackScreens.requestDismiss.dialog-001	tracks	dialog	app/src/main/java/com/whip/app/ui/TrackScreens.kt
call:TrackScreens.requestDismiss.dialog-002	tracks	dialog	app/src/main/java/com/whip/app/ui/TrackScreens.kt
call:TrackScreens.requestDismiss.dialog-003	tracks	dialog	app/src/main/java/com/whip/app/ui/TrackScreens.kt
call:TrackScreens.requestDismiss.dialog-004	tracks	dialog	app/src/main/java/com/whip/app/ui/TrackScreens.kt
call:TrackScreens.requestDismiss.dialog-005	tracks	dialog	app/src/main/java/com/whip/app/ui/TrackScreens.kt
call:TrackScreens.trackDetail.dialog-001	tracks	dialog	app/src/main/java/com/whip/app/ui/TrackScreens.kt
call:TrackScreens.trackDetail.dialog-002	tracks	dialog	app/src/main/java/com/whip/app/ui/TrackScreens.kt
call:TrackScreens.trackDetail.dialog-003	tracks	dialog	app/src/main/java/com/whip/app/ui/TrackScreens.kt
call:UnifiedSearchDialog.UnifiedSearchDialog.dialog-001	shared	dialog	app/src/main/java/com/whip/app/ui/UnifiedSearchDialog.kt
